Timestamp,period,T,RH,ea,es,VPD,Delta,P,gamma,u2,J,t_mid,Sc,omega,omega1,omega2,omega_s,delta,dr,beta,Ra,Rso,Rs,fcd,fcd_eq,Rns,Rnl,Rn,G_os,Cd_os,ETos_mm,G_rs,Cd_rs,ETrs_mm
6/9/2026 0:00,night,20.9,82.4,2.036738516769058,2.4717700446226427,0.4350315278535848,0.15193485302849763,91.14971822657583,0.06061456262067293,3.900866594619943,159,23.5,0.019074300068775283,2.8231497036199373,1.9067286269357713,1.9067286269357713,1.9067286269357713,0.39880567380797377,0.9696635629992859,-0.46683210507930406,0.0,0.0,0.0,0.8013436440269667,Eq.46,0.0,0.1715402698021763,-0.1715402698021763,-0.08577013490108815,0.96,0.01736561559315836,-0.03430805396043526,1.7,0.02374657480700727
6/9/2026 1:00,night,19.8,82.1,1.8960898528319328,2.309488249490783,0.41339839665885036,0.14317705489122984,91.14971822657583,0.06061456262067293,3.8008443742450724,160,0.5,0.01593982480304075,-3.1990568194661404,-1.9081964597115588,-1.9081964597115588,1.9081964597115588,0.40030864844271274,0.9694444823526029,-0.5052654790169969,0.0,0.0,0.0,0.8013436440269667,Eq.46,0.0,0.17745184786863993,-0.17745184786863993,-0.08872592393431997,0.96,0.01612436597572787,-0.03549036957372799,1.7,0.022127005708393765
6/9/2026 2:00,night,19.6,79.2,1.8065565722021029,2.281005772982453,0.47444920078035024,0.1416315464370162,91.14971822657583,0.06061456262067293,2.9006443908712396,160,1.5,0.01593982480304075,-2.9372574316669913,-1.9081964597115588,-1.9081964597115588,1.9081964597115588,0.40030864844271274,0.9694444823526029,-0.48945713305085786,0.0,0.0,0.0,0.8013436440269667,Eq.46,0.0,0.18250502418179146,-0.18250502418179146,-0.09125251209089573,0.96,0.014217977475250282,-0.03650100483635829,1.7,0.020711105529917815
6/9/2026 3:00,night,19.5,77.6,1.7590989583608303,2.2668801009804516,0.5077811426196213,0.14086410252003811,91.14971822657583,0.06061456262067293,2.600577729746629,160,2.5,0.01593982480304075,-2.6754580438678417,-1.9081964597115588,-1.9081964597115588,1.9081964597115588,0.40030864844271274,0.9694444823526029,-0.4200986590211168,0.0,0.0,0.0,0.8013436440269667,Eq.46,0.0,0.18524246149344953,-0.18524246149344953,-0.09262123074672476,0.96,0.01361064215718264,-0.03704849229868991,1.7,0.02032976255962628
6/9/2026 4:00,night,18.7,82.5,1.7791966335624212,2.156601980075662,0.377405346513241,0.134850291696919,91.14971822657583,0.06061456262067293,2.800622170496369,160,3.5,0.01593982480304075,-2.4136586560686917,-1.9081964597115588,-1.9081964597115588,1.9081964597115588,0.40030864844271274,0.9694444823526029,-0.3061566816255158,0.0,0.0,0.0,0.8013436440269667,Eq.46,0.0,0.1819694291810291,-0.1819694291810291,-0.09098471459051455,0.96,0.008706351513186241,-0.03639388583620582,1.7,0.013400466761577445
6/9/2026 5:00,night,17.9,87.9,1.8028705055110539,2.051047219011438,0.24817671350038406,0.1290553877182628,91.14971822657583,0.06061456262067293,2.600577729746629,160,4.5,0.01593982480304075,-2.1518592682695425,-1.9081964597115588,-1.9081964597115588,1.9081964597115588,0.40030864844271274,0.9694444823526029,-0.1587040936054497,0.0,0.0,0.0,0.8013436440269667,Eq.46,0.0,0.17852828081800254,-0.17852828081800254,-0.08926414040900127,0.96,0.0008084109759291375,-0.03570565616360051,1.7,0.0029619919901461437
6/9/2026 6:00,night,17.4,92.9,1.8462919884900841,1.9873971889021356,0.14110520041205143,0.12554187263708336,91.14971822657583,0.06061456262067293,1.7003777463727956,160,5.5,0.01593982480304075,-1.8900598804703934,-1.9081964597115588,-1.7591601865708186,1.9081964597115588,0.40030864844271274,0.9694444823526029,0.012452862870342928,0.14064539800561954,0.10800385145488334,0.056159999999999995,0.8013436440269667,Eq.46,0.043243199999999996,0.17468019246620445,-0.13143699246620444,-0.06571849623310222,0.96,-0.005307562901917759,-0.02628739849324089,1.7,-0.005757405979179793
6/9/2026 7:00,day,19.0,92.6,2.034786217917997,2.197393323885526,0.16260710596752892,0.137079467773823,91.14971822657583,0.06061456262067293,2.100466627872277,160,6.5,0.01593982480304075,-1.628260492671244,-1.7591601865708189,-1.4973607987716693,1.9081964597115588,0.40030864844271274,0.9694444823526029,0.19978520340683223,0.947149371299182,0.7273311566105827,0.55584,0.8013436440269667,Eq.46,0.4279968,0.16726377692969163,0.2607330230703084,0.026073302307030838,0.24,0.06899202137104796,0.010429320922812336,0.25,0.08137949113711089
6/9/2026 8:00,day,22.1,76.6,2.0376284306845323,2.660089335097301,0.6224609044127689,0.16200115083705446,91.14971822657583,0.06061456262067293,2.800622170496369,160,7.5,0.01593982480304075,-1.3664611048720947,-1.4973607987716695,-1.23556141097252,1.9081964597115588,0.40030864844271274,0.9694444823526029,0.39770563785889534,1.8453082621252146,1.4170417394181463,1.2085199999999998,0.8013436440269667,Eq.45,0.9305603999999998,0.17430326436932245,0.7562571356306774,0.07562571356306774,0.24,0.22112931989409268,0.0302502854252271,0.25,0.27020568947839074
6/9/2026 9:00,day,26.9,51.6,1.8289499621374619,3.5444766708090345,1.7155267086715726,0.208088613696857,91.14971822657583,0.06061456262067293,2.800622170496369,160,8.5,0.01593982480304075,-1.1046617170729454,-1.2355614109725201,-0.9737620231733707,1.9081964597115588,0.40030864844271274,0.9694444823526029,0.6017898923204649,2.695761509234904,2.070118395125631,1.665,0.735807461685586,Eq.45,1.2820500000000001,0.18351314559281573,1.0985368544071843,0.10985368544071844,0.24,0.3873677866514679,0.043941474176287375,0.25,0.4937482837156898
6/9/2026 10:00,day,30.5,37.6,1.641721024508552,4.3662793205014685,2.7245582959929164,0.24948945303997713,91.14971822657583,0.06061456262067293,2.800622170496369,160,9.5,0.01593982480304075,-0.8428623292737953,-0.97376202317337,-0.7119626353742207,1.9081964597115588,0.40030864844271274,0.9694444823526029,0.8077256704447527,3.440552129278172,2.642055028906777,2.22912,0.7890042853290554,Eq.45,1.7164224000000001,0.2200295164842934,1.4963928835157068,0.14963928835157067,0.24,0.5514505494955698,0.05985571534062827,0.25,0.700077409475901
6/9/2026 11:00,day,32.7,28.9,1.429428326096945,4.946118775421955,3.5166904493250106,0.2780345930292044,91.14971822657583,0.06061456262067293,1.6003555259979254,160,10.5,0.01593982480304075,-0.581062941474646,-0.7119626353742207,-0.4501632475750713,1.9081964597115588,0.40030864844271274,0.9694444823526029,1.0092395233223035,4.028923872323765,3.0938751043393764,2.5840799999999997,0.777552949731915,Eq.45,1.9897415999999999,0.2398623408815472,1.7498792591184527,0.17498792591184528,0.24,0.6076906083234435,0.06999517036473811,0.25,0.72806056915795
